Jurisdiction,County,SBCAG Region,Year,Prior APN,APN,Street Address,Project Name,Tracking ID,Type,Tenure,Very Low Income (DR) Entitlements,Very Low Income (NDR) Entitlements,Very Low Income Entitlements,Low Income (DR) Entitlements,Low Income (NDR) Entitlements,Low Income Entitlements,Moderate Income (DR) Entitlements,Moderate Income (NDR) Entitlements,Moderate Income Entitlements,Above Moderate Income Entitlements,Total Entitlements,Very Low Income Building Permits (DR),Very Low Income Building Permits (NDR),Very Low Income Building Permits,Low Income (DR) Building Permits,Low Income (NDR) Building Permits,Low Income Building Permits,Moderate Income (DR) Building Permits,Moderate Income (NDR) Building Permits,Moderate Income Building Permits,Above Moderate Income Building Permits,Building Permit Issue Date,Total Number of Building Permits,Very Low Income Cert. of Occupancy (DR),Very Low Income Cert. of Occupancy (NDR),Very Low Income Cert. of Occupancy,Low Income (DR) Cert. of Occupancy,Low Income (NDR) Cert. of Occupancy,Low Income Cert. of Occupancy,Moderate Income (DR) Cert. of Occupancy,Moderate Income (NDR) Cert. of Occupancy,Moderate Income Cert. of Occupancy,Above Moderate Income  Cert. of Occupancy,Cert. of Occupancy Issue Date,Total Number of Units Issued Cert. of Occupancy,Extremely Low Income Units,Contains Extremely Low Income Units,Approved Using SB 35,Infill Units,Project Income Level (Detailed),Project Income Level,Deed Restricted
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,021-010-069,"1974 LAS CANOAS RIDGE WAY RD, SANTA BARBARA, CA 931052378",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-10-08,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,069-780-010,"5337 PLUNKETT LN, SANTA BARBARA, CA 93111",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-01-18,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,069-800-006,"5419 TREE FARM LN, SANTA BARBARA, CA 93111",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-01-02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,007-530-033,"321 ENNISBROOK DR, SANTA BARBARA, CA 93108",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-02-14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,069-800-013,"5418 TREE FARM LN, SANTA BARBARA, CA 93111",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-01-02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,011-090-049,"720 RIVEN ROCK RD, MONTECITO, CA 931081123",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-03-28,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,011-090-042,"759 PICACHO LN, SANTA BARBARA, CA 931081226",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-10-11,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2018,,107-890-011,"1094 SANDERS CT, SANTA MARIA, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-05-23,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,069-790-009,"554 CHRISTMAS TREE LN, SANTA BARBARA, CA 93111",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-01-02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,005-400-007,"3351 PADARO LN, CARPINTERIA, CA 93013",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-03-28,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
